original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,accepted_count,accepted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0001,0,0.0,10,1.63,14,2.0,1,0.03,25,3.66
STT_GR_0002,0,0.0,245,14.89,65,4.01,4,0.05,314,18.95
STT_GR_0003,2,0.49,116,9.24,144,14.01,1,0.01,263,23.75
STT_GR_0004,0,0.0,234,11.75,0,0.0,1,0.01,235,11.76
STT_GR_0005,1,0.02,28,4.55,39,3.74,0,0.0,68,8.31
STT_GR_0006,0,0.0,83,5.79,0,0.0,1,0.02,84,5.81
STT_GR_0007,0,0.0,145,8.05,0,0.0,2,0.05,147,8.1
STT_GR_0008,0,0.0,122,9.46,0,0.0,4,0.64,126,10.1
STT_GR_0009,0,0.0,92,4.94,0,0.0,2,0.04,94,4.98
STT_GR_0010,0,0.0,283,20.2,40,4.18,0,0.0,323,24.38
STT_GR_0011,1,0.01,30,3.79,92,10.48,36,2.55,159,16.83
STT_GR_0012,0,0.0,176,11.26,128,9.07,11,0.38,315,20.71
STT_GR_0013,0,0.0,76,4.63,0,0.0,0,0.0,76,4.63
STT_GR_0014,0,0.0,113,13.12,19,2.83,0,0.0,132,15.95
STT_GR_0015,1,0.16,18,1.47,86,7.31,6,0.14,111,9.08
STT_GR_0016,1,0.16,9,1.11,115,12.22,3,0.06,128,13.55
STT_GR_0017,0,0.0,99,7.0,47,1.55,4,0.05,150,8.6
STT_GR_0018,0,0.0,22,1.24,12,0.36,3,0.05,37,1.65
STT_GR_0019,0,0.0,146,10.53,71,5.03,107,5.6,324,21.16
STT_GR_0020,0,0.0,21,3.44,28,3.46,0,0.0,49,6.9
STT_GR_0021,0,0.0,137,11.33,40,5.38,3,0.06,180,16.77
STT_GR_0022,0,0.0,261,22.16,59,6.92,8,0.16,328,29.24
STT_GR_0023,0,0.0,128,11.35,42,5.18,3,0.4,173,16.93
STT_GR_0024,0,0.0,144,15.52,1,0.03,75,4.5,220,20.05
STT_GR_0025,0,0.0,30,1.34,77,4.99,4,0.04,111,6.37
STT_GR_0026,0,0.0,90,10.94,11,0.89,2,0.04,103,11.87
STT_GR_0027,0,0.0,68,9.06,0,0.0,0,0.0,68,9.06
STT_GR_0028,0,0.0,85,8.77,50,4.37,3,0.05,138,13.19
STT_GR_0029,0,0.0,27,1.45,167,12.67,8,0.11,202,14.23
STT_GR_0030,0,0.0,97,4.76,0,0.0,1,0.01,98,4.77
STT_GR_0031,0,0.0,27,2.88,34,4.3,2,0.13,63,7.31
STT_GR_0032,1,0.1,16,0.97,1,0.03,12,1.11,30,2.21
STT_GR_0033,1,0.01,73,2.02,43,1.12,3,0.11,120,3.26
STT_GR_0034,15,0.54,646,24.39,1746,66.75,78,2.01,2485,93.69
STT_GR_0035,5,0.09,1455,57.56,679,25.45,118,2.54,2257,85.64
STT_GR_0036,4,0.48,589,25.94,180,7.8,34,0.82,807,35.04
STT_GR_0037,1,0.06,1617,67.54,84,3.55,79,1.75,1781,72.9
STT_GR_0038,0,0.0,1340,55.61,0,0.0,87,2.52,1427,58.13
STT_GR_0039,0,0.0,56,3.05,0,0.0,3,0.18,59,3.23
STT_GR_0040,0,0.0,23,1.42,0,0.0,1,0.07,24,1.49
STT_GR_0041,0,0.0,16,0.79,0,0.0,0,0.0,16,0.79
STT_GR_0042,0,0.0,42,2.34,0,0.0,3,0.08,45,2.42
STT_GR_0043,0,0.0,37,2.28,0,0.0,1,0.04,38,2.32
STT_GR_0044,0,0.0,576,25.49,0,0.0,28,0.92,604,26.41
