original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,accepted_count,accepted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0001,0,0.0,0,0.0,24,3.62,1,0.03,25,3.65
STT_GR_0002,0,0.0,0,0.0,310,18.9,4,0.05,314,18.95
STT_GR_0003,3,0.5,27,3.59,232,19.65,1,0.01,263,23.75
STT_GR_0004,0,0.0,17,1.24,217,10.51,1,0.01,235,11.76
STT_GR_0005,0,0.0,47,4.7,21,3.61,0,0.0,68,8.31
STT_GR_0006,0,0.0,11,0.67,72,5.12,1,0.02,84,5.81
STT_GR_0007,0,0.0,12,1.09,133,6.97,2,0.05,147,8.11
STT_GR_0008,0,0.0,15,0.42,107,9.05,4,0.64,126,10.11
STT_GR_0009,0,0.0,6,0.41,86,4.53,2,0.04,94,4.98
STT_GR_0010,0,0.0,53,5.13,270,19.25,0,0.0,323,24.38
STT_GR_0011,0,0.0,77,9.44,46,4.84,36,2.55,159,16.83
STT_GR_0012,2,0.16,19,0.51,283,19.66,11,0.38,315,20.71
STT_GR_0013,0,0.0,5,0.26,71,4.36,0,0.0,76,4.62
STT_GR_0014,0,0.0,5,0.56,127,15.4,0,0.0,132,15.96
STT_GR_0015,0,0.0,75,7.53,30,1.42,6,0.14,111,9.09
STT_GR_0016,0,0.0,65,6.31,60,7.18,3,0.06,128,13.55
STT_GR_0017,0,0.0,19,1.39,127,7.16,4,0.05,150,8.6
STT_GR_0018,0,0.0,21,1.05,13,0.55,3,0.05,37,1.65
STT_GR_0019,0,0.0,59,2.86,158,12.7,107,5.6,324,21.16
STT_GR_0020,0,0.0,7,1.07,42,5.83,0,0.0,49,6.9
STT_GR_0021,0,0.0,34,3.36,143,13.34,3,0.06,180,16.76
STT_GR_0022,0,0.0,75,6.24,245,22.83,8,0.16,328,29.23
STT_GR_0023,0,0.0,9,0.68,161,15.85,3,0.4,173,16.93
STT_GR_0024,0,0.0,28,2.9,117,12.65,75,4.5,220,20.05
STT_GR_0025,0,0.0,14,0.9,93,5.42,4,0.04,111,6.36
STT_GR_0026,0,0.0,78,8.64,23,3.19,2,0.04,103,11.87
STT_GR_0027,0,0.0,68,9.06,0,0.0,0,0.0,68,9.06
STT_GR_0028,0,0.0,75,7.17,60,5.97,3,0.05,138,13.19
STT_GR_0029,0,0.0,93,7.67,101,6.46,8,0.11,202,14.24
STT_GR_0030,0,0.0,60,2.9,37,1.86,1,0.01,98,4.77
STT_GR_0031,0,0.0,9,1.03,52,6.15,2,0.13,63,7.31
STT_GR_0032,0,0.0,18,1.1,0,0.0,12,1.11,30,2.21
STT_GR_0033,0,0.0,117,3.15,0,0.0,3,0.11,120,3.26
STT_GR_0034,0,0.0,1189,42.77,1218,48.91,78,2.01,2485,93.69
STT_GR_0035,3,0.31,1392,52.96,744,29.83,118,2.54,2257,85.64
STT_GR_0036,0,0.0,650,29.77,123,4.45,34,0.82,807,35.04
STT_GR_0037,0,0.0,1327,55.7,375,15.46,79,1.75,1781,72.91
STT_GR_0038,0,0.0,1179,49.11,161,6.5,87,2.52,1427,58.13
STT_GR_0039,0,0.0,55,2.97,1,0.08,3,0.18,59,3.23
